#fragment# 	+QK 
#noise# 	+hGH 
$ 	SIL 
Humberto 	u m b e rf t o 
Humphrey 	x a n f rf eI 
Hung 	x u ng g 
Hung(2) 	u n g 
Hungri+a 	u ng g rf i+ a 
Hungri+a(2) 	u n g rf i+ a 
Hunting 	x u n t i ng g 
Hunting(2) 	u n t i n g 
Huracanes 	u rf a k a n e s 
Hurtado 	u rf t a D o 
Hurtado(2) 	u rf t a o 
Husein 	x u s eI ng 
Hush 	x u tS 
Hussein 	x u s eI ng 
Husseini 	x u s eI n i 
Hutchinson 	x u t tS i ng s o ng 
Hutchinson(2) 	u t tS i n s o n 
Huzma+n 	x u s m a+ ng 
Hyundai 	x j u n d aI 
Hyundai(2) 	j u n d aI 
I 	i 
IAMA 	j a e m e a 
IBGE 	i b e x e e 
IBM 	i b e e m e 
ICAFE 	i k a f e 
ICE 	i s e 
ICE(2) 	i T e 
ICOM 	i k o m 
ICT 	i s e t e 
IDA 	i D a 
IDC 	i D e s e 
IDH 	i D e a tS e 
IDO 	i D e o 
IED 	j e D e 
IFC 	i e f e s e 
IHCAFE 	i k a f e 
IHMA 	i m a 
II 	s e G u ng D o 
IICE 	i i s e e 
IICE(2) 	i i T e e 
IIDH 	i i D e a tS e 
III 	t e rf s e rf 
ILUSIONISMO 	i l u s j o n i z m o 
IMAGINARIAS 	i m a x i n a rf j a s 
IMAS 	i m a s 
IMESI 	i m e s i 
IMPLACABLE 	i m p l a k a b l e 
IMPONENTE 	i m p o n e n t e 
IMPORTANTE 	i m p o rf t a n t e 
IMPROBABLE 	i m p rf o b a b l e 
IMPULSAR 	i m p u l s a rf 
INA 	i n a 
INAM 	i n a m 
INAN 	i n a ng 
INCERTIDUMBRES 	i ng s e rf t i D u m b rf e s 
INCERTIDUMBRES(2) 	i n T e rf t i D u m b rf e s 
INCONMOVIBLE 	i ng k o ng m o b i b l e 
INCONMOVIBLE(2) 	i n k o n m o b i b l e 
INDEFENSOS 	i n d e f e ng s o s 
INDEFENSOS(2) 	i n d e f e n s o s 
INDEPENDIENTE 	i n d e p e n d j e n t e 
INDUSTRIAS 	i n d u s t rf j a s 
INE 	i n e 
INETER 	i n e t e rf 
INFIERNO 	i ng f j e rf n o 
INFORMAR 	i ng f o rf m a rf 
INFORMAR(2) 	i n f o rf m a rf 
ING 	i e n e x e 
ING(2) 	i n g 
INICIA 	i n i s j a 
INICIA(2) 	i n i T j a 
INICIALES 	i n i s j a l e s 
INICIALES(2) 	i n i T j a l e s 
INISER 	i n i s e rf 
INP 	i e n e p e 
INRA 	i ng r a 
INRA(2) 	i n r a 
INS 	i ng s 
INS(2) 	i n s 
INSIVUMEH 	i ng s i b u m e 
INSIVUMEH(2) 	i n s i b u m e 
INSTAN 	i ng s t a ng 
INSTAN(2) 	i n s t a n 
INTEGRACIO+N 	i n t e G rf a s j o+ ng 
INTEL 	i n t e l 
INTELECTUALES 	i n t e l e k t w a l e s 
INTERE+S 	i n t e rf e+ s 
INTERIOR 	i n t e rf j o rf 
INTERNADO 	i n t e rf n a D o 
INTERNADO(2) 	i n t e rf n a o 
INTERNET 	i n t e rf n e t 
INTERPOL 	i n t e rf p o l 
INTERVENCIO+N 	i n t e rf b e ng s j o+ ng 
INTERVINO 	i n t e rf b i n o 
IOB 	i o b e 
IPAT 	i p e a t e 
IPCE 	i p s e 
IPCE(2) 	i p T e 
IPM 	i p e e m e 
IRA 	i rf a 
IRAK 	i rf a k 
IRIC 	i rf i k 
IRLANDA 	i rf l a n d a 
ISO 	i s o 
ISRAEL 	i s r a e l 
ISRAELI 	i s r a e l i 
ISRAELI+ES 	i s r a e l i+ e s 
ISSS 	i e s e e s e e s e 
ITALIA 	i t a l j a 
IUTE 	i u t e e 
IV 	k u a rf t o 
IVA 	i b a 
IVSS 	i u b e e s e e s e 
IX 	n o b e n o 
IX(2) 	i s 
Ib 	i b 
Iba+n5ez 	i b a+ n~ e s 
Iba+n5ez(2) 	i b a+ n~ e T 
Ibarra 	i b a r a 
Iberia 	i b e rf j a 
Iberoamericana 	i b e rf o a m e rf i k a n a 
Ibiza 	i b i s a 
Ibiza(2) 	i b i T a 
Ibrahim 	i b rf a i m 
Ibrahimya 	i b rf a i m L a 
Ibrahimya(2) 	i b rf a i m j a 
Ickes 	i k e s 
Idealmente 	i D e a l m e n t e 
Ideario 	i D e a rf j o 
Idilio 	i D i l j o 
Ievghieni 	j e b G j e n i 
Iglesia 	i G l e s j a 
Iglesias 	i G l e s j a s 
Ignacio 	i G n a s j o 
Ignacio(2) 	i G n a T j o 
Ignoro+ 	i G n o rf o+ 
Igor 	i G o rf 
Igual 	i G w a l 
Igualmente 	i G w a l m e n t e 
Iguazu+ 	i G w a s u+ 
Iguazu+(2) 	i G w a T u+ 
Ihuantemengo 	i w a n t e m e ng g o 
Il 	i l 
Illan 	i L a ng 
Illarietti 	i L a rf j e t t i 
Illinois 	i l i n oI s 
Ilopango 	i l o p a ng g o 
Ilopango(2) 	i l o p a n g o 
Ilovares 	i l o b a rf e s 
Iluso 	i l u s o 
Ilyushin 	i l j u s i ng 
Ilyushin(2) 	i l j u s i n 
Imagi+nese 	i m a x i+ n e s e 
Imaginado 	i m a x i n a D o 
Imaginado(2) 	i m a x i n a o 
Imagine 	i m a x i n e 
Imelda 	i m e l d a 
Imesi 	i m e s i 
Impactos 	i m p a k t o s 
Imperial 	i m p e rf j a l 
Imperio 	i m p e rf j o 
Imponer 	i m p o n e rf 
Importa 	i m p o rf t a 
Importadores 	i m p o rf t a D o rf e s 
Importante 	i m p o rf t a n t e 
Imposible 	i m p o s i b l e 
Impositiva 	i m p o s i t i b a 
Impresiona 	i m p rf e s j o n a 
Improsucre 	i m p rf o s u k rf e 
Imprudencia 	i m p rf u D e ng s j a 
Imprudencia(2) 	i m p rf u D e n T j a 
Impuesto 	i m p w e s t o 
Inauguran 	i n aU G u rf a ng 
Incendio 	i ng s e n d j o 
Incentivos 	i ng s e n t i b o s 
Incentivos(2) 	i n T e n t i b o s 
Incidencias 	i ng s i D e ng s j a s 
Incidencias(2) 	i n T i D e n T j a s 
Incluso 	i ng k l u s o 
Incluso(2) 	i n k l u s o 
Inco+gnitas 	i ng k o+ G n i t a s 
Inco+gnitas(2) 	i n k o+ G n i t a s 
Inco+modo 	i ng k o+ m o D o 
Inco+modo(2) 	i n k o+ m o D o 
Inconformes 	i ng k o ng f o rf m e s 
Inconformes(2) 	i n k o n f o rf m e s 
Inconscientemente 	i ng k o ng s s j e n t e m e n t e 
Inconscientemente(2) 	i n k o n s T j e n t e m e n t e 
Incorp 	i ng k o rf p 
Incorp(2) 	i n k o rf p 
Incorporacio+n 	i ng k o rf p o rf a s j o+ ng 
Incorporacio+n(2) 	i n k o rf p o rf a T j o+ n 
Indebido 	i n d e b i D o 
Indefenso 	i n d e f e ng s o 
Indefenso(2) 	i n d e f e n s o 
Independence 	i n d e p e n d e ng s e 
Independence(2) 	i n d e p e n d e n T e 
Independencia 	i n d e p e n d e ng s j a 
Independencia(2) 	i n d e p e n d e n T j a 
Independiente 	i n d e p e n d j e n t e 
Independientes 	i n d e p e n d j e n t e s 
Indi+gena 	i n d i+ x e n a 
Indi+genas 	i n d i+ x e n a s 
India 	i n d j a 
Indica 	i n d i k a 
Indico 	i n d i k o 
Indico+ 	i n d i k o+ 
Indiferente 	i n d i f e rf e n t e 
Indignados 	i n d i G n a D o s 
Indios 	i n d j o s 
Indirectamente 	i n d i rf e k t a m e n t e 
Indonesia 	i n d o n e s j a 
Indudablemente 	i n d u D a b l e m e n t e 
Industria 	i n d u s t rf j a 
Industrial 	i n d u s t rf j a l 
Industriales 	i n d u s t rf j a l e s 
Industrias 	i n d u s t rf j a s 
Inernational 	i n e rf n a t j o n a l 
Inevitable 	i n e b i t a b l e 
Infancia 	i ng f a ng s j a 
Infante 	i ng f a n t e 
Infante(2) 	i n f a n t e 
Infanteri+a 	i ng f a n t e rf i+ a 
Infanteri+a(2) 	i n f a n t e rf i+ a 
Infantil 	i ng f a n t i l 
Infantil(2) 	i n f a n t i l 
Infeliz 	i ng f e l i s 
Infeliz(2) 	i n f e l i T 
Infierno 	i ng f j e rf n o 
Infierno(2) 	i n f j e rf n o 
Influencia 	i ng f l w e ng s j a 
Influencia(2) 	i n f l w e n T j a 
Info+rmate 	i ng f o+ rf m a t e 
Info+rmate(2) 	i n f o+ rf m a t e 
Infografi+a 	i ng f o G rf a f i+ a 
Infografi+a(2) 	i n f o G rf a f i+ a 
Informacio+n 	i ng f o rf m a s j o+ ng 
Informacio+n(2) 	i n f o rf m a T j o+ n 
Informal 	i ng f o rf m a l 
Informantes 	i ng f o rf m a n t e s 
Informantes(2) 	i n f o rf m a n t e s 
Information 	i ng f o rf m a t j o ng 
Information(2) 	i n f o rf m a t j o n 
Informes 	i ng f o rf m e s 
Informo+ 	i ng f o rf m o+ 
Infracciones 	i ng f rf a k s j o n e s 
Infracciones(2) 	i n f rf a s j o n e s 
Infraestructura 	i ng f rf a e s t rf u k t u rf a 
Infraestructura(2) 	i n f rf a e s t rf u k t u rf a 
Ing 	i n x e n j e rf o 
Ing(2) 	i n g 
Ingenieri+a 	i n x e n j e rf i+ a 
Ingeniero 	i n x e n j e rf o 
Inglaterra 	i ng g l a t e r a 
Inglaterra(2) 	i n g l a t e r a 
Ingreso 	i ng g rf e s o 
Ingreso(2) 	i n g rf e s o 
Inhumanos 	i n u m a n o s 
Iniciales 	i n i s j a l e s 
Iniciales(2) 	i n i T j a l e s 
Inicialmente 	i n i s j a l m e n t e 
Inicialmente(2) 	i n i T j a l m e n t e 
Iniciamos 	i n i s j a m o s 
Iniciamos(2) 	i n i T j a m o s 
Iniciativa 	i n i s j a t i b a 
Iniciativa(2) 	i n i T j a t i b a 
Inmaculada 	i ng m a k u l a D a 
Inmaculada(2) 	i n m a k u l a D a 
Inmediatamente 	i ng m e D j a t a m e n t e 
Inmediatamente(2) 	i n m e D j a t a m e n t e 
Inminente 	i ng m i n e n t e 
Inminente(2) 	i n m i n e n t e 
Inmuno 	i ng m u n o 
Inmuno(2) 	i n m u n o 
Inmunodeficiencia 	i ng m u n o D e f i s j e ng s j a 
Inmunodeficiencia(2) 	i n m u n o D e f i T j e n T j a 
Innovacio+n 	i n n o b a s j o+ ng 
Innovacio+n(2) 	i n n o b a T j o+ n 
Inocente 	i n o s e n t e 
Inocente(2) 	i n o T e n t e 
Insecto 	i ng s e k t o 
Insecto(2) 	i n s e k t o 
Insistan 	i ng s i s t a ng 
Insistan(2) 	i n s i s t a n 
Insistio+ 	i ng s i s t j o+ 
Insistio+(2) 	i n s i s t j o+ 
Insisto 	i ng s i s t o 
Insisto(2) 	i n s i s t o 
Inspectores 	i ng s p e k t o rf e s 
Inspectores(2) 	i n s p e k t o rf e s 
Inspectori+a 	i ng s p e k t o rf i+ a 
Inspectori+a(2) 	i n s p e k t o rf i+ a 
Instalan 	i ng s t a l a ng 
Instalan(2) 	i n s t a l a n 
Instancia 	i ng s t a ng s j a 
Instancia(2) 	i n s t a n T j a 
Institucio+n 	i ng s t i t u s j o+ ng 
Institucio+n(2) 	i n s t i t u T j o+ n 
Institucional 	i ng s t i t u s j o n a l 
Institucional(2) 	i n s t i t u T j o n a l 
Institucionalidad 	i ng s t i t u s j o n a l i D a 
Institucionalidad(2) 	i n s t i t u T j o n a l i D a 
Instituciones 	i ng s t i t u s j o n e s 
Instituciones(2) 	i n s t i t u T j o n e s 
Institute 	i ng s t i t u t e 
Institute(2) 	i n s t i t u t e 
Instituto 	i ng s t i t u t o 
Instituto(2) 	i n s t i t u t o 
Intangibles 	i n t a n x i b l e s 
Integacio+n 	i n t e G a s j o+ ng 
Integacio+n(2) 	i n t e G a T j o+ n 
Integracio+n 	i n t e G rf a s j o+ ng 
Integracio+n(2) 	i n t e G rf a T j o+ n 
Integrando 	i n t e G rf a n d o 
Intel 	i n t e l 
Inteligencia 	i n t e l i x e ng s j a 
Inteligencia(2) 	i n t e l i x e n T j a 
Inteligentes 	i n t e l i x e n t e s 
Intelisano 	i n t e l i s a n o 
Intencio+n 	i n t e ng s j o+ ng 
Intencio+n(2) 	i n t e n T j o+ n 
Intendencia 	i n t e n d e ng s j a 
Intendencia(2) 	i n t e n d e n T j a 
Intendencias 	i n t e n d e ng s j a s 
Intendencias(2) 	i n t e n d e n T j a s 
Intensa 	i n t e ng s a 
Intensa(2) 	i n t e n s a 
Intensificaremos 	i n t e ng s i f i k a rf e m o s 
Intente 	i n t e n t e 
Interamericana 	i n t e rf a m e rf i k a n a 
Interamericano 	i n t e rf a m e rf i k a n o 
Interarmas 	i n t e rf a rf m a s 
Intere+s 	i n t e rf e+ s 
Interesa 	i n t e rf e s a 
Intereses 	i n t e rf e s e s 
Interfase 	i n t e rf f a s e 
Interfax 	i n t e rf f a k s 
Interfax(2) 	i n t e rf f a s 
Interior 	i n t e rf j o rf 
Intermediacio+n 	i n t e rf m e D j a s j o+ ng 
Intermediacio+n(2) 	i n t e rf m e D j a T j o+ n 
Interministerial 	i n t e rf m i n i s t e rf j a l 
Internacionales 	i n t e rf n a s j o n a l e s 
Internacionalizacio+n 	i n t e rf n a s j o n a l i s a s j o+ ng 
Internacional 	i n t e rf n a s j o n a l 
Internal 	i n t e rf n a l 
Internamente 	i n t e rf n a m e n t e 
International 	i n t e rf n a t j o n a l 
Internet 	i n t e rf n e t 
Interno 	i n t e rf n o 
Interocea+nica 	i n t e rf o s e a+ n i k a 
Interocea+nica(2) 	i n t e rf o T e a+ n i k a 
Interparlamentaria 	i n t e rf p a rf l a m e n t a rf j a 
Intersectorial 	i n t e rf s e k t o rf j a l 
Intervendra+n 	i n t e rf b e n d rf a+ ng 
Intervengan 	i n t e rf b e ng g a ng 
Intervengan(2) 	i n t e rf b e n g a n 
Interventora 	i n t e rf b e n t o rf a 
Intifada 	i n t i f a D a 
Intranet 	i n t rf a n e t 
Intri+nsica 	i n t rf i+ ng s i k a 
Intri+nsica(2) 	i n t rf i+ n s i k a 
Intrinsic 	i n t rf i ng s i k 
Intrinsic(2) 	i n t rf i n s i k 
Introduccio+n 	i n t rf o D u k s j o+ ng 
Introduccio+n(2) 	i n t rf o D u s j o+ n 
Invencible 	i ng V e ng s i b l e 
Invencible(2) 	i m V e n T i b l e 
Inversalva 	i ng V e rf s a l b a 
Inversalva(2) 	i m V e rf s a l b a 
Inversio+n 	i ng V e rf s j o+ ng 
Inversio+n(2) 	i m V e rf s j o+ n 
Inversiones 	i ng V e rf s j o n e s 
Inversiones(2) 	i m V e rf s j o n e s 
Investigacio+n 	i ng V e s t i G a s j o+ ng 
Investigacio+n(2) 	i m V e s t i G a T j o+ n 
Investigaciones 	i ng V e s t i G a s j o n e s 
Investigaciones(2) 	i m V e s t i G a T j o n e s 
Investigadores 	i ng V e s t i G a D o rf e s 
Investigadores(2) 	i m V e s t i G a D o rf e s 
Investigan 	i ng V e s t i G a ng 
Investigan(2) 	i m V e s t i G a n 
Investments 	i ng V e s t m e n t s 
Investments(2) 	i m V e s t m e n t s 
Invisible 	i ng V i s i b l e 
Invisible(2) 	i m V i s i b l e 
Invitado 	i ng V i t a D o 
Invito+ 	i ng V i t o+ 
Invito+(2) 	i m V i t o+ 
Ira 	i rf a 
Ira+n 	i rf a+ ng 
Iraheta 	i rf a e t a 
Irahetana 	i rf a e t a n a 
Irak 	i rf a k 
Irazu+ 	i rf a s u+ 
Irazu+(2) 	i rf a T u+ 
Irene 	i rf e n e 
Irlanda 	i rf l a n d a 
Ironi+a 	i rf o n i+ a 
Isaac 	i s a k 
Isabel 	i s a b e l 
Isidro 	i s i D rf o 
Isla 	i z l a 
Isla+mica 	i z l a+ m i k a 
Isla+mico 	i z l a+ m i k o 
Islam 	i z l a m 
Islamismo 	i z l a m i z m o 
Island 	i z l a ng 
Islas 	i z l a s 
Islen5a 	i z l e n~ a 
Isletas 	i z l e t a s 
Ismet 	i z m e t 
Israel 	i s r a e l 
Israeli+es 	i s r a e l i+ e s 
Issa 	i s s a 
Italia 	i t a l j a 
Italiana 	i t a l j a n a 
Itami 	i t a m i 
Iva+n 	i b a+ ng 
Ivanic 	i b a n i k 
Ivanovich 	i b a n o b i tS 
Ivrea 	i b rf e a 
Ixca+n 	i k s k a+ ng 
Ixca+n(2) 	i s k a+ n 
Izabal 	i s a b a l 
Izabal(2) 	i T a b a l 
Izabel 	i s a b e l 
Izabel(2) 	i T a b e l 
Izaguirre 	i s a g i r e 
Izasa 	i s a s a 
Izasa(2) 	i T a s a 
Izetbegovic 	i s e t b e G o b i k 
Izetbegovic(2) 	i T e t b e G o b i k 
Izvestia 	i s b e s t j a 
Izvestia(2) 	i T b e s t j a 
J 	x o t a 
JACK 	L a k 
JERUSALEN 	x e rf u s a l e ng 
JICA 	x i k a 
JOHNSON 	x o ng s o ng 
JOHNSON(2) 	x o n s o n 
JORNADA 	x o rf n a D a 
JPL 	x o t a p e e l e 
JPS 	x o t a p e e s e 
JRV 	x o t a e rf e u b e 
JUAN 	x w a ng 
JUEGO 	x w e G o 
JUEGOS 	x w e G o s 
JUZGA 	x u s G a 
JUZGA(2) 	x u T G a 
JUZGAR 	x u s G a rf 
JUZGAR(2) 	x u T G a rf 
Jaber 	x a b e rf 
Jac 	L a k 
Jacinto 	x a s i n t o 
Jacinto(2) 	x a T i n t o 
Jack 	L a k 
Jaco+ 	x a k o+ 
Jacob 	x a k o b 
Jacobo 	x a k o b o 
Jacobs 	L a k o b s 
Jacobs(2) 	x a k o s 
Jacqueline 	L a k e l i ng 
Jacques 	L a k s 
Jacquin 	x a k i ng 
Jacubowitz 	x a k u b o w i t s 
Jacubowitz(2) 	x a k u b o b i t T 
Jae+n 	x a e+ ng 
Jaen 	x a e ng 
Jagadeesh 	x a G a D e e s 
Jaime 	x aI m e 
Jair 	x aI rf 
Jalalabad 	x a l a l a b a 
Jamaica 	x a m aI k a 
James 	L eI m s 
Jamil 	x a m i l 
Jane 	L eI ng 
Janeiro 	x a n eI rf o 
Janerry 	x a n e r j 
Janes 	x a n e s 
Janina 	L a n i n a 
Janka 	x a n k a 
Janne 	x a n e 
Jannet 	L a n e t 
Japo+n 	x a p o+ ng 
Jarqui+n 	x a rf k i+ ng 
Jarvis 	x a rf b i s 
Jassan 	x a s s a ng 
Javier 	x a b j e rf 
Jawaharlal 	x a w a a rf l a l 
Jawaharlal(2) 	x a b a a rf l a l 
Jay 	L aI 
Jayrallah 	x aI rf a L a 
Jean 	L j ng 
Jeanne 	x e a n n e 
Jefa 	x e f a 
Jefe 	x e f e 
Jeff 	L e f f 
Jefferis 	L e f e rf i s 
Jefferson 	L e f e rf s o ng 
Jelal 	x e l a l 
Jelves 	x e l b e s 
Jennice 	L e n i s 
Jennice(2) 	x e n n i T e 
Jennifer 	L e n i f e rf 
Jenny 	L e n j 
Jerico+ 	x e rf i k o+ 
Jersey 	L e rf s i 
Jerusale+n 	x e rf u s a l e+ ng 
Jessica 	L e s i k a 
Jesu+s 	x e s u+ s 
Jetly 	L e t l j 
Jewish 	L u w i s 
Jewish(2) 	x e b i s 
Jiang 	x j a ng g 
Jiang(2) 	x j a n g 
Jihad 	x i a D 
Jijo+n 	x i x o+ ng 
Jim 	L i m 
Jime+nez 	x i m e+ n e s 
Jime+nez(2) 	x i m e+ n e T 
Jimmy 	L i m j 
Jinotega 	x i n o t e G a 
Jiquilillo 	x i k i l i L o 
Jo+venes 	x o+ b e n e s 
Joachim 	x o a tS i m 
Joaqui+n 	x o a k i+ ng 
Jocotenango 	x o k o t e n a ng g o 
Jocotenango(2) 	x o k o t e n a n g o 
Joe 	L o u 
Joerg 	x o e rf G 
John 	L o ng 
Johnny 	L o n j 
Johnson 	L o ng s o ng 
Johnson(2) 	x o n s o n 
Johnston 	L o ng s t o ng 
Johnston(2) 	x o n s t o n 
Joost 	x o o s t 
Jordan 	x o rf D a ng 
Jordania 	x o rf D a n j a 
Jorge 	x o rf x e 
Jornadas 	x o rf n a D a s 
Jose 	x o s e 
Jose+ 	x o s e+ 
Josef 	L o s e f 
Joseph 	L o s e f 
Joshua 	L o s w a 
Josue+ 	x o s w e+ 
Joulwan 	x o u l w a ng 
Joulwan(2) 	x o u l b a n 
Journal 	L o rf n a l 
Joven 	x o b e ng 
Jovino 	x o b i n o 
Joya 	x o L a 
Joya(2) 	x oI a 
Joyce 	L oI s 
Joyce(2) 	x oI T e 
Joyeros 	x o L e rf o s 
Joyeros(2) 	x oI e rf o s 
Jozef 	x o s e f 
Jozef(2) 	x o T e f 
Jr 	L u n i o rf 
Ju+piter 	x u+ p i t e rf 
Jua+rez 	x w a+ rf e s 
Jua+rez(2) 	x w a+ rf e T 
Juan 	x w a ng 
Juarez 	x w a rf e s 
Juarez(2) 	x w a rf e T 
Judicial 	x u D i s j a l 
Judicial(2) 	x u D i T j a l 
Judit 	L u D i t 
Juegos 	x w e G o s 
Jueves 	x w e b e s 
Juez 	x w e s 
Juez(2) 	x w e T 
Jugadores 	x u G a D o rf e s 
Jugamos 	x u G a m o s 
Juicio 	x w i s j o 
Juicio(2) 	x w i T j o 
Juigalpa 	x w i G a l p a 
Julia 	x u l j a 
Julia+n 	x u l j a+ ng 
Julie 	L u l j 
Julio 	x u l j o 
July 	L u l aI 
Jumhuriya 	x u m u rf i L a 
Jumhuriya(2) 	x u m u rf i j a 
Junac 	x u n a k 
Junio 	x u n j o 
Juniors 	L u n j o rf s 
Junot 	x u n o t 
Junquito 	x u ng k i t o 
Junquito(2) 	x u n k i t o 
Junta 	x u n t a 
Juntas 	x u n t a s 
Junto 	x u n t o 
Juntos 	x u n t o s 
Jupo+n 	x u p o+ ng 
Juppe+ 	x u p p e+ 
Jurado 	x u rf a D o 
Jurado(2) 	x u rf a o 
Juramentada 	x u rf a m e n t a D a 
Juri+dica 	x u rf i+ D i k a 
Justamente 	x u s t a m e n t e 
Justicia 	x u s t i s j a 
Justicia(2) 	x u s t i T j a 
Justicialista 	x u s t i s j a l i s t a 
Justicialista(2) 	x u s t i T j a l i s t a 
Justiniani 	x u s t i n j a n i 
Juvenil 	x u b e n i l 
Juventud 	x u b e n t u 
Juventudes 	x u b e n t u D e s 
Juzgado 	x u s G a D o 
Juzgado(2) 	x u T G a o 
Juzgados 	x u s G a D o s 
Juzgados(2) 	x u T G a D o s 
K 	k a 
KABUL 	k a b u l 
KANDAHAR 	k a n d a a rf 
KEMP 	k e m p 
KENNEDYS 	k e n e D j s 
KGB 	k a x e b e 
KONG 	k o ng 
KONG(2) 	k o n g 
KRAJISNIK 	k rf a x i z n i k 
KREMLIN 	k rf e m l i ng 
KURDISTAN 	k u rf D i s t a ng 
Kabul 	k a b u l 
Kadafi 	k a D a f i 
Kafati 	k a f a t i 
Kahalani 	k a a l a n i 
Kain 	k aI ng 
Kalashnikov 	k a l a s n i k o b 
Kalb 	k a l b 
Kalida 	k a l i D a 
Kalim 	k a l i m 
Kamunabi 	k a m u n a b i 
Kandahar 	k a n d a a rf 
Kansas 	k a ng s a s 
Kansas(2) 	k a n s a s 
Kant 	k a n t 
Kantauri 	k a n t aU rf i 
Kaplan 	k a p l a ng 
Kappler 	k a p l e rf 
Karachi 	k a rf a tS i 
Karadzic 	k a rf a D s i k 
Karadzic(2) 	k a rf a D T i k 
Karim 	k a rf i m 
Karol 	k a rf o l 
Karolinska 	k a rf o l i ng s k a 
Karolinska(2) 	k a rf o l i n s k a 
Karte 	k a rf t e 
Kate 	k eI t 
Kathie 	k a t j 
Kathleen 	k a t l j ng 
Katiusca 	k a t j u s k a 
Kawakasi 	k a w a k a s i 
Kawakasi(2) 	k a b a k a s i 
Keith 	k eI t 
Kelly 	k e l j 
Kemp 	k e m p 
Ken 	k e ng 
Kennedy 	k e n e D j 
Kenneth 	k e n e t 
Kenny 	k e n j 
Kent 	k e n t 
Kentucky 	k e n t o k j 
Kersh 	k e rf s 
Keynes 	k eI n s 
Kfar 	k f a rf 
Ki+lmar 	k i+ l m a rf 
Kian 	k j a ng 
Kiev 	k j e b 
Kim 	k i m 
Kingstown 	k i ng g s t a w ng 
Kingstown(2) 	k i n g s t o b n 
Kira 	k i rf a 
Kirio 	k i rf j o 
Kirkpatrick 	k i rf k p a t rf i k k 
Kissinger 	k i s i n x e rf 
Kittleton 	k i t l e t o ng 
Klarsfeld 	k l a rf s f e l 
Kleber 	k l e b e rf 
Kleiman 	k l eI m a ng 
Klein 	k l eI ng 
Koblenz 	k o b l e n s 
Koblenz(2) 	k o b l e n T 
Kobrin 	k o b rf i ng 
Kohl 	k o l 
Kong 	k o ng 
Kong(2) 	k o n g 
Korzhakov 	k o rf s a k o b 
Korzhakov(2) 	k o rf T a k o b 
Kotlikoff 	k o t l i k o f f 
Krajisnik 	k rf a x i z n i k 
Krauze 	k rf aU s e 
Krauze(2) 	k rf aU T e 
Kremeniuk 	k rf e m e n j u k 
Kremlin 	k rf e m l i ng 
Kresimir 	k rf e s i m i rf 
Krohn 	k rf o ng 
Kroto 	k rf o t o 
Kruger 	k rf u x e rf 
Kruschov 	k rf u s tS o b 
Kulikov 	k u l i k o b 
Kurdista+n 	k u rf D i s t a+ ng 
Kurdo 	k u rf D o 
Kurt 	k u rf t 
Kuwait 	k u w aI t 
Kuwait(2) 	k u b aI t 
Kwasniewski 	k w a z n j e w s k i 
Kwasniewski(2) 	k b a z n j e b s k i 
Kyra 	k j rf a 
L 	e l e 
LA 	l a 
LABORAL 	l a b o rf a l 
LADO 	l a D o 
LADO(2) 	l a o 
LAS 	l a s 
LATIDOS 	l a t i D o s 
LB 	e l e b e 
LCR 	e l e s e e r e 
LEBED 	l e b e 
LEGALES 	l e G a l e s 
LENTA 	l e n t a 
LEY 	l eI 
LIBRE 	l i b rf e 
LIEBRE 	l j e b rf e 
LILI 	l i l i 
LIMBO 	l i m b o 
LLEGA 	L e G a 
LLEVAN 	L e b a ng 
LND 	e l e e n e D e 
LO 	l o 
LOCURA 	l o k u rf a 
LOGROS 	l o G rf o s 
LONDRES 	l o n d rf e s 
LOS 	l o s 
LUCHA 	l u tS a 
LUTO 	l u t o 
LUnita+ 	l u n i t a+ 
La 	l a 
La+stima 	l a+ s t i m a 
La+zaro 	l a+ s a rf o 
La+zaro(2) 	l a+ T a rf o 
Laboral 	l a b o rf a l 
Laborales 	l a b o rf a l e s 
Laboratorio 	l a b o rf a t o rf j o 
Laborista 	l a b o rf i s t a 
Lacalle 	l a k a L e 
Lacandona 	l a k a n d o n a 
Lacasa 	l a k a s a 
Lacayo 	l a k a L o 
Lacayo(2) 	l a k aI o 
Lacoste 	l a k o s t e 
Lacsa 	l a k s a 
Lacunza 	l a k u n s a 
Lacunza(2) 	l a k u n T a 
Lady 	l eI D j 
Laghi 	l a G i 
Lago 	l a G o 
Lagos 	l a G o s 
Lagoutte 	l a G o u t e 
Laguardia 	l a G w a rf D j a 
Laguna 	l a G u n a 
Lamberto 	l a m b e rf t o 
Lamborghini 	l a m b o rf L i n i 
Lame+ 	l a m e+ 
Lamentablemente 	l a m e n t a b l e m e n t e 
Lamentaciones 	l a m e n t a s j o n e s 
Lamentaciones(2) 	l a m e n t a T j o n e s 
Lamento+ 	l a m e n t o+ 
Lamentos 	l a m e n t o s 
Lami 	l a m i 
Lampedusa 	l a m p e D u s a 
Lamport 	l a m p o rf t 
Lampreia 	l a m p rf e j a 
LanChile 	l a ng tS i l e 
LanChile(2) 	l a n tS i l e 
Land 	l a ng 
Landaverde 	l a n d a b e rf D e 
Landesbank 	l a n d e z b a n k 
Landsbergis 	l a n d z b e rf x i s 
Lanu+s 	l a n u+ s 
Lanusse 	l a n u s e 
Lanzable 	l a n s a b l e 
Lanzable(2) 	l a n T a b l e 
Lanzador 	l a n s a D o rf 
Lanzador(2) 	l a n T a D o rf 
Lanzas 	l a n s a s 
