!SIL	sil
<unk>	spn
charasyab	tS a rf a s j a b
charette	tS a rf e t t e
charia	tS a rf j a
charla	tS a rf l a
charlando	tS a rf l a n d o
charlar	tS a rf l a rf
charlas	tS a rf l a s
charlatanerismo	tS a rf l a t a n e rf i z m o
charles	tS a rf l e s
charlton	tS a rf l t o ng
charpantier	tS a rf p a n t j e rf
charrier	tS a r j e rf
chasis	tS a s i s
chauvinismo	tS aU b i n i z m o
chavo	tS a b o
chazov	tS a T o b
chazov	tS a s o b
che	tS e
checa	tS e k a
cheche	tS e tS e
chechena	tS e tS e n a
chechenia	tS e tS e n j a
checheno	tS e tS e n o
chechenos	tS e tS e n o s
checoeslovaco	tS e k o e z l o b a k o
checoslovaca	tS e k o z l o b a k a
checoslovaquia	tS e k o z l o b a k j a
chef	tS e f
chefs	tS e f s
chelsea	tS e l s e a
cheque	tS e k e
chequeo	tS e k e o
chequeos	tS e k e o s
cheques	tS e k e s
chernenko	tS e rf n e n k o
chernomirdin	tS e rf n o m i rf D i ng
chernomyrdim	tS e rf n o m j rf D i m
chernomyrdin	tS e rf n o m j rf D i ng
chernomyrdun	tS e rf n o m j rf D u ng
chernomyrovdin	tS e rf n o m j rf o b D i ng
chernonyrdin	tS e rf n o n j rf D i ng
cherokee	tS e rf o k e e
cheshire	tS e s i rf e
chiapaneca	tS j a p a n e k a
chiapas	tS j a p a s
chibai	tS i b aI
chic	tS i k
chicago	tS i k a G o
chicharrita	tS i tS a r i t a
chicos	tS i k o s
chicoy	tS i k oI
chiflones	tS i f l o n e s
chile	tS i l e
chilena	tS i l e n a
chilenas	tS i l e n a s
chileno	tS i l e n o
chilenos	tS i l e n o s
chill	tS i L
chimaltenango	tS i m a l t e n a n g o
chimaltenango	tS i m a l t e n a ng g o
chimenea	tS i m e n e a
chimeneas	tS i m e n e a s
china	tS i n a
chinandega	tS i n a n d e G a
chinas	tS i n a s
chino	tS i n o
chinos	tS i n o s
chioggia	tS j o G x j a
chiquilla	tS i k i L a
chira	tS i rf a
chirac	tS i rf a k
chiriquí	tS i rf i k i+
chisec	tS i s e k
chismoso	tS i z m o s o
chispa	tS i s p a
chiste	tS i s t e
chitre	tS i t rf e
chiveras	tS i b e rf a s
chivos	tS i b o s
chizas	tS i T a s
chizas	tS i s a s
chiíta	tS i i+ t a
choate	tS o a t e
chocan	tS o k a ng
chocar	tS o k a rf
chocó	tS o k o+
choferes	tS o f e rf e s
choluteca	tS o l u t e k a
chonco	tS o n k o
chonco	tS o ng k o
choque	tS o k e
choques	tS o k e s
chorrear	tS o r e a rf
chorro	tS o r o
choza	tS o T a
choza	tS o s a
chris	tS rf i s
christian	tS rf i s t j a ng
christina	tS rf i s t i n a
christopher	tS rf i s t o p e rf
chrysler	tS rf j z l e rf
chuayffet	tS w aI f f e t
chubai	tS u b aI
chubais	tS u b aI s
chuica	tS w i k a
chupar	tS u p a rf
chuquicamata	tS u k i k a m a t a
chávez	tS a+ b e T
chávez	tS a+ b e s
ci	T i
ci	s e i
cia	T j a
cia	s j a
cibernético	T i b e rf n e+ t i k o
cibernético	s i b e rf n e+ t i k o
ciclismo	T i k l i z m o
ciclismo	s i k l i z m o
ciclista	T i k l i s t a
ciclista	s i k l i s t a
ciclo	T i k l o
ciclo	s i k l o
ciclomotores	T i k l o m o t o rf e s
ciclomotores	s i k l o m o t o rf e s
ciclos	T i k l o s
ciclos	s i k l o s
ciclística	s i k l i+ s t i k a
cicr	T i k rf
cicr	s e i s e e r e
cid	T i
cid	s i
cide	T i D e
cide	s i D e
cidh	T i D
cidh	s e i D e a tS e
ciegas	T j e G a s
ciegas	s j e G a s
ciego	T j e G o
ciego	s j e G o
cielo	T j e l o
cielo	s j e l o
cielos	T j e l o s
cielos	s j e l o s
cien	T j e n
cien	s j e ng
ciencia	T j e n T j a
ciencia	s j e ng s j a
ciencias	T j e n T j a s
ciencias	s j e ng s j a s
cienfuegos	T j e n f w e G o s
cienfuegos	s j e ng f w e G o s
cientista	T j e n t i s t a
cientista	s j e n t i s t a
ciento	T j e n t o
ciento	s j e n t o
cientois	T j e n t oI s
cientois	s j e n t oI s
cientos	T j e n t o s
cientos	s j e n t o s
científica	T j e n t i+ f i k a
científica	s j e n t i+ f i k a
científicamente	T j e n t i+ f i k a m e n t e
científicamente	s j e n t i+ f i k a m e n t e
científicas	T j e n t i+ f i k a s
científicas	s j e n t i+ f i k a s
científico	T j e n t i+ f i k o
científico	s j e n t i+ f i k o
científicos	T j e n t i+ f i k o s
científicos	s j e n t i+ f i k o s
cieprodh	T j e p rf o D
cieprodh	s j e p rf o D
ciernes	T j e rf n e s
ciernes	s j e rf n e s
cierra	T j e r a
cierra	s j e r a
cierran	T j e r a n
cierran	s j e r a ng
cierre	T j e r e
cierre	s j e r e
cierren	T j e r e n
cierren	s j e r e ng
cierres	T j e r e s
cierres	s j e r e s
cierta	T j e rf t a
cierta	s j e rf t a
ciertamente	T j e rf t a m e n t e
ciertamente	s j e rf t a m e n t e
ciertas	T j e rf t a s
ciertas	s j e rf t a s
cierto	T j e rf t o
cierto	s j e rf t o
ciertos	T j e rf t o s
ciertos	s j e rf t o s
cifra	T i f rf a
cifra	s i f rf a
cifras	T i f rf a s
cifras	s i f rf a s
cifuentes	T i f w e n t e s
cifuentes	s i f w e n t e s
cigarrillo	T i G a r i L o
cigarrillo	s i G a r i L o
cigarrillos	T i G a r i L o s
cigarrillos	s i G a r i L o s
cigarros	T i G a r o s
cigarros	s i G a r o s
cii	T i i
cii	s e i i
cilindros	T i l i n d rf o s
cilindros	s i l i n d rf o s
ciller	T i L e rf
ciller	s i L e rf
cima	T i m a
cima	s i m a
cimentará	T i m e n t a rf a+
cimentará	s i m e n t a rf a+
cimeras	T i m e rf a s
cimeras	s i m e rf a s
cimientos	T i m j e n t o s
cimientos	s i m j e n t o s
cinco	T i n k o
cinco	s i ng k o
cincuenta	T i n k w e n t a
cincuenta	s i ng k w e n t a
cincuentas	s i ng k w e n t a s
cincuentenario	T i n k w e n t e n a rf j o
cincuentenario	s i ng k w e n t e n a rf j o
cincuentona	T i n k w e n t o n a
cincuentona	s i ng k w e n t o n a
cine	T i n e
cine	s i n e
cinecittá	T i n e T i t t a+
cinecittá	s i n e s i t t a+
cinematografía	T i n e m a t o G rf a f i+ a
cinematografía	s i n e m a t o G rf a f i+ a
cinematográfica	T i n e m a t o G rf a+ f i k a
cinematográfica	s i n e m a t o G rf a+ f i k a
cinematográficas	T i n e m a t o G rf a+ f i k a s
cinematográficas	s i n e m a t o G rf a+ f i k a s
cines	T i n e s
cines	s i n e s
cinismo	T i n i z m o
cinismo	s i n i z m o
cinta	T i n t a
cinta	s i n t a
cintas	T i n t a s
cintas	s i n t a s
cinturones	T i n t u rf o n e s
cinturones	s i n t u rf o n e s
circo	T i rf k o
circo	s i rf k o
circuito	T i rf k w i t o
circuito	s i rf k w i t o
circuitos	T i rf k w i t o s
circuitos	s i rf k w i t o s
circula	T i rf k u l a
circula	s i rf k u l a
circulación	T i rf k u l a T j o+ n
circulación	s i rf k u l a s j o+ ng
circulado	T i rf k u l a o
circulado	s i rf k u l a D o
circulan	T i rf k u l a n
circulan	s i rf k u l a ng
circulando	T i rf k u l a n d o
circulando	s i rf k u l a n d o
circulantes	T i rf k u l a n t e s
circulantes	s i rf k u l a n t e s
circular	T i rf k u l a rf
circular	s i rf k u l a rf
circularon	T i rf k u l a rf o n
circularon	s i rf k u l a rf o ng
circularán	T i rf k u l a rf a+ n
circularán	s i rf k u l a rf a+ ng
circule	T i rf k u l e
circule	s i rf k u l e
circundan	T i rf k u n d a n
circundan	s i rf k u n d a ng
circundantes	s i rf k u n d a n t e s
circunscribirnos	T i rf k u n s k rf i b i rf n o s
circunscribirnos	s i rf k u ng s k rf i b i rf n o s
circunstancia	T i rf k u n s t a n T j a
circunstancia	s i rf k u ng s t a ng s j a
circunstanciales	s i rf k u ng s t a ng s j a l e s
circunstancias	T i rf k u n s t a n T j a s
circunstancias	s i rf k u ng s t a ng s j a s
circunvala	T i rf k u m V a l a
circunvala	s i rf k u ng V a l a
circustancias	s i rf k u s t a ng s j a s
cirilo	T i rf i l o
cirilo	s i rf i l o
cirugía	T i rf u x i+ a
cirugía	s i rf u x i+ a
cirujano	T i rf u x a n o
cirujano	s i rf u x a n o
cirujanos	T i rf u x a n o s
cirujanos	s i rf u x a n o s
cirujía	T i rf u x i+ a
cirujía	s i rf u x i+ a
cisjordana	T i s x o rf D a n a
cisjordana	s i s x o rf D a n a
cisjordanas	T i s x o rf D a n a s
cisjordanas	s i s x o rf D a n a s
cisjordania	T i s x o rf D a n j a
cisjordania	s i s x o rf D a n j a
cisjordano	T i s x o rf D a n o
cisjordano	s i s x o rf D a n o
cisma	T i z m a
cisma	s i z m a
cisne	T i z n e
cisne	s i z n e
cisneros	T i z n e rf o s
cisneros	s i z n e rf o s
cisterna	T i s t e rf n a
cisterna	s i s t e rf n a
cisternas	T i s t e rf n a s
cisternas	s i s t e rf n a s
cita	T i t a
cita	s i t a
citaban	T i t a b a n
citaban	s i t a b a ng
citada	T i t a D a
citada	s i t a D a
citadas	T i t a D a s
citadas	s i t a D a s
citadinos	T i t a D i n o s
citadinos	s i t a D i n o s
citado	T i t a o
citado	s i t a D o
citados	T i t a D o s
citados	s i t a D o s
citan	T i t a n
citan	s i t a ng
citando	T i t a n d o
citando	s i t a n d o
citar	T i t a rf
citar	s i t a rf
citaremos	T i t a rf e m o s
citaremos	s i t a rf e m o s
citarse	T i t a rf s e
citarse	s i t a rf s e
citas	T i t a s
citas	s i t a s
citroen	T i t rf o e n
citroen	s i t rf o e ng
citó	T i t o+
citó	s i t o+
ciu	T j u
ciu	s e i u
ciudad	T j u D a
ciudad	s j u D a
ciudadadanos	T j u D a D a D a n o s
ciudadadanos	s j u D a D a D a n o s
ciudadana	T j u D a D a n a
ciudadana	s j u D a D a n a
ciudadanas	T j u D a D a n a s
ciudadanas	s j u D a D a n a s
ciudadano	T j u D a D a n o
ciudadano	s j u D a D a n o
ciudadanos	T j u D a D a n o s
ciudadanos	s j u D a D a n o s
ciudadanía	T j u D a D a n i+ a
ciudadanía	s j u D a D a n i+ a
ciudade	s j u D a D e
ciudades	T j u D a D e s
ciudades	s j u D a D e s
civil	T i b i l
civil	s i b i l
civile	s i b i l e
civiles	T i b i l e s
civiles	s i b i l e s
civilista	T i b i l i s t a
civilista	s i b i l i s t a
civilizaciones	T i b i l i T a T j o n e s
civilizaciones	s i b i l i s a s j o n e s
civilización	T i b i l i T a T j o+ n
civilización	s i b i l i s a s j o+ ng
civilizada	T i b i l i T a D a
civilizada	s i b i l i s a D a
civismo	T i b i z m o
civismo	s i b i z m o
cizaña	T i T a n~ a
cizaña	s i s a n~ a
ciño	T i n~ o
ciño	s i n~ o
clai	k l aI
clama	k l a m a
clamaban	k l a m a b a ng
claman	k l a m a ng
clamando	k l a m a n d o
clamor	k l a m o rf
clan	k l a ng
clandestina	k l a n d e s t i n a
clandestinamente	k l a n d e s t i n a m e n t e
clandestinas	k l a n d e s t i n a s
clandestinidad	k l a n d e s t i n i D a
clandestino	k l a n d e s t i n o
clandestinos	k l a n d e s t i n o s
clanes	k l a n e s
clara	k l a rf a
claramente	k l a rf a m e n t e
claras	k l a rf a s
claridad	k l a rf i D a
clarifica	k l a rf i f i k a
clarito	k l a rf i t o
claritos	k l a rf i t o s
clark	k l a rf k
clarks	k l a rf k s
claro	k l a rf o
claros	k l a rf o s
clarín	k l a rf i+ ng
claró	k l a rf o+
clase	k l a s e
clases	k l a s e s
clasifica	k l a s i f i k a
clasificación	k l a s i f i k a T j o+ n
clasificación	k l a s i f i k a s j o+ ng
clasificada	k l a s i f i k a D a
clasificado	k l a s i f i k a D o
clasificado	k l a s i f i k a o
clasificados	k l a s i f i k a D o s
clasificar	k l a s i f i k a rf
clasificarla	k l a s i f i k a rf l a
clasificaron	k l a s i f i k a rf o ng
clasificarse	k l a s i f i k a rf s e
clasificarán	k l a s i f i k a rf a+ ng
clasificatoria	k l a s i f i k a t o rf j a
clasificatorias	k l a s i f i k a t o rf j a s
clasificatorio	k l a s i f i k a t o rf j o
claude	k l aU D e
claudia	k l aU D j a
claudicar	k l aU D i k a rf
claudio	k l aU D j o
clausewitz	k l aU s e b i t T
clausewitz	k l aU s e w i t s
clausura	k l aU s u rf a
clausuraban	k l aU s u rf a b a ng
clausuradas	k l aU s u rf a D a s
clausurado	k l aU s u rf a D o
clausurado	k l aU s u rf a o
clausurar	k l aU s u rf a rf
clausuraron	k l aU s u rf a rf o ng
clausuró	k l aU s u rf o+
clavadistas	k l a b a D i s t a s
clave	k l a b e
claveles	k l a b e l e s
claves	k l a b e s
cleaveland	k l e a b e l a ng
clero	k l e rf o
cleto	k l e t o
cleveland	k l e b e l a ng
cleyfart	k l eI f a rf t
clic	k l i k
cliché	k l i tS e+
clienta	k l j e n t a
cliente	k l j e n t e
clientela	k l j e n t e l a
clientelismo	k l j e n t e l i z m o
clientelista	k l j e n t e l i s t a
clientes	k l j e n t e s
clima	k l i m a
climáticas	k l i m a+ t i k a s
climáticos	k l i m a+ t i k o s
clinton	k l i n t o ng
clitórico	k l i t o+ rf i k o
cloacas	k l o a k a s
clodoveo	k l o D o b e o
club	k l u b
clubes	k l u b e s
clásica	k l a+ s i k a
clásicas	k l a+ s i k a s
clásico	k l a+ s i k o
clásicos	k l a+ s i k o s
cláusula	k l a+ u s u l a
cláusulas	k l a+ u s u l a s
clérigo	k l e+ rf i G o
clérigos	k l e+ rf i G o s
clímax	k l i+ m a k s
clímax	k l i+ m a s
clínica	k l i+ n i k a
clínicas	k l i+ n i k a s
clínico	k l i+ n i k o
cmdte	k o m a ng D a n t e
cnn	s e e n e e n e
co	k o
coaccionar	k o a k s j o n a rf
coaccionar	k o a s j o n a rf
coaccione	k o a k s j o n e
coaccione	k o a s j o n e
coacción	k o a k s j o+ ng
coacción	k o a s j o+ n
coadyuvan	k o a D L u b a ng
coadyuvan	k o a D j u b a n
coadyuvar	k o a D L u b a rf
coadyuvar	k o a D j u b a rf
coadyuvarán	k o a D L u b a rf a+ ng
coadyuvó	k o a D L u b o+
coadyuvó	k o a D j u b o+
coalición	k o a l i T j o+ n
coalición	k o a l i s j o+ ng
coamo	k o a m o
coartar	k o a rf t a rf
coartemos	k o a rf t e m o s
coates	k o a t e s
cobain	k o b aI ng
cobalto	k o b a l t o
cobardía	k o b a rf D i+ a
cobertura	k o b e rf t u rf a
cobija	k o b i x a
cobijas	k o b i x a s
cobra	k o b rf a
cobrado	k o b rf a D o
cobrado	k o b rf a o
cobradofuerza	k o b rf a D o f w e rf T a
cobrados	k o b rf a D o s
cobran	k o b rf a ng
cobrando	k o b rf a n d o
cobranza	k o b rf a n T a
cobranza	k o b rf a n s a
cobranzas	k o b rf a n T a s
cobranzas	k o b rf a n s a s
cobrar	k o b rf a rf
cobrarle	k o b rf a rf l e
cobre	k o b rf e
cobro	k o b rf o
cobros	k o b rf o s
cobrábamos	k o b rf a+ b a m o s
cobró	k o b rf o+
cobán	k o b a+ ng
coca	k o k a
cocaleros	k o k a l e rf o s
cocaína	k o k a i+ n a
coces	k o T e s
coces	k o s e s
cocha	k o tS a
coche	k o tS e
cochera	k o tS e rf a
cocherari	k o tS e rf a rf i
coches	k o tS e s
cochinos	k o tS i n o s
cocina	k o T i n a
cocina	k o s i n a
cocinar	k o T i n a rf
cocinar	k o s i n a rf
cocinas	k o T i n a s
cocinas	k o s i n a s
cocinero	k o s i n e rf o
cocineros	k o T i n e rf o s
cocineros	k o s i n e rf o s
coco	k o k o
cocodrilo	k o k o D rf i l o
cocopa	k o k o p a
cocotero	k o k o t e rf o
cocoteros	k o k o t e rf o s
coddeffagolf	k o D e f a G o l f
codeco	k o D e k o
codeh	k o D e
codehuca	k o D e u k a
codelco	k o D e l k o
codicia	k o D i T j a
codicia	k o D i s j a
codifica	k o D i f i k a
codificación	k o D i f i k a T j o+ n
codificación	k o D i f i k a s j o+ ng
codo	k o D o
coeli	k o e l i
coello	k o e L o
coena	k o e n a
coexistencia	k o e k s i s t e ng s j a
coexistencia	k o e s i s t e n T j a
cofadeh	k o f a D e
cofres	k o f rf e s
coge	k o x e
coger	k o x e rf
cogidas	k o x i D a s
cogió	k o x j o+
cogobernado	k o G o b e rf n a D o
cogobernado	k o G o b e rf n a o
cogobierna	k o G o b j e rf n a
coh	k o
cohep	k o e p
coherencia	k o e rf e n T j a
coherencia	k o e rf e ng s j a
cohete	k o e t e
cohetes	k o e t e s
cohorte	k o o rf t e
cohortes	k o o rf t e s
coimbra	k oI m b rf a
coincidan	k oI n T i D a n
coincidan	k oI ng s i D a ng
coincide	k oI n T i D e
coincide	k oI ng s i D e
coinciden	k oI n T i D e n
coinciden	k oI ng s i D e ng
coincidencia	k oI n T i D e n T j a
coincidencia	k oI ng s i D e ng s j a
coincidencias	k oI n T i D e n T j a s
coincidencias	k oI ng s i D e ng s j a s
coincidente	k oI n T i D e n t e
coincidente	k oI ng s i D e n t e
coincidentes	k oI n T i D e n t e s
coincidentes	k oI ng s i D e n t e s
coincidido	k oI n T i D i D o
coincidido	k oI ng s i D i D o
coincidiera	k oI n T i D j e rf a
coincidiera	k oI ng s i D j e rf a
coincidieron	k oI n T i D j e rf o n
coincidieron	k oI ng s i D j e rf o ng
coincidimos	k oI n T i D i m o s
coincidimos	k oI ng s i D i m o s
coincidir	k oI n T i D i rf
coincidir	k oI ng s i D i rf
coincidió	k oI n T i D j o+
coincidió	k oI ng s i D j o+
cojedes	k o x e D e s
cojulum	k o x u l u m
cola	k o l a
colabora	k o l a b o rf a
colaboraciones	k o l a b o rf a T j o n e s
colaboraciones	k o l a b o rf a s j o n e s
colaboracionismo	k o l a b o rf a T j o n i z m o
colaboracionismo	k o l a b o rf a s j o n i z m o
colaboracionista	k o l a b o rf a T j o n i s t a
colaboracionista	k o l a b o rf a s j o n i s t a
colaboracionistas	k o l a b o rf a T j o n i s t a s
colaboracionistas	k o l a b o rf a s j o n i s t a s
colaboración	k o l a b o rf a T j o+ n
colaboración	k o l a b o rf a s j o+ ng
colaborador	k o l a b o rf a D o rf
colaboradora	k o l a b o rf a D o rf a
colaboradores	k o l a b o rf a D o rf e s
colaboran	k o l a b o rf a ng
colaborando	k o l a b o rf a n d o
colaborar	k o l a b o rf a rf
colaborara	k o l a b o rf a rf a
colaborará	k o l a b o rf a rf a+
colaborativa	k o l a b o rf a t i b a
colaborativo	k o l a b o rf a t i b o
colaborativos	k o l a b o rf a t i b o s
colabore	k o l a b o rf e
colaboren	k o l a b o rf e ng
colaboró	k o l a b o rf o+
colac	k o l a k
colación	k o l a T j o+ n
colación	k o l a s j o+ ng
colapso	k o l a p s o
colapsó	k o l a p s o+
colarse	k o l a rf s e
colas	k o l a s
colbún	k o l b u+ ng
colcha	k o l tS a
coldragados	k o l d rf a G a D o s
coldwell	k o l d b e L
coldwell	k o l d w e L
colección	k o l e k s j o+ ng
colección	k o l e s j o+ n
colectiva	k o l e k t i b a
colectivas	k o l e k t i b a s
colectividad	k o l e k t i b i D a
colectivismo	k o l e k t i b i z m o
colectivista	k o l e k t i b i s t a
colectivo	k o l e k t i b o
colectivos	k o l e k t i b o s
colega	k o l e G a
colegas	k o l e G a s
colegial	k o l e x j a l
colegiala	k o l e x j a l a
colegiarse	k o l e x j a rf s e
colegien	k o l e x j e ng
colegio	k o l e x j o
colegios	k o l e x j o s
colegir	k o l e x i rf
colegirse	k o l e x i rf s e
colgaba	k o l G a b a
colgado	k o l G a D o
colgado	k o l G a o
colgando	k o l G a n d o
colgar	k o l G a rf
colgaron	k o l G a rf o ng
colgó	k o l G o+
colina	k o l i n a
colinas	k o l i n a s
colinda	k o l i n d a
colindancia	k o l i n d a n T j a
colindancia	k o l i n d a ng s j a
collado	k o L a D o
collado	k o L a o
collar	k o L a rf
collares	k o L a rf e s
collignon	k o L i G n o ng
collin	k o L i ng
collins	k o L i n s
collins	k o L i ng s
colmada	k o l m a D a
colmadas	k o l m a D a s
colmaron	k o l m a rf o ng
colmarán	k o l m a rf a+ ng
colmo	k o l m o
colmos	k o l m o s
coloca	k o l o k a
colocación	k o l o k a T j o+ n
colocación	k o l o k a s j o+ ng
colocada	k o l o k a D a
colocadas	k o l o k a D a s
colocado	k o l o k a D o
colocado	k o l o k a o
colocados	k o l o k a D o s
colocan	k o l o k a ng
colocando	k o l o k a n d o
colocar	k o l o k a rf
colocaremos	k o l o k a rf e m o s
colocarlo	k o l o k a rf l o
colocará	k o l o k a rf a+
colocaría	k o l o k a rf i+ a
colocábamos	k o l o k a+ b a m o s
colocó	k o l o k o+
colombes	k o l o m b e s
colombia	k o l o m b j a
colombiado	k o l o m b j a D o
colombiado	k o l o m b j a o
colombiana	k o l o m b j a n a
colombianas	k o l o m b j a n a s
colombiano	k o l o m b j a n o
colombianos	k o l o m b j a n o s
colombo	k o l o m b o
colon	k o l o ng
colonense	k o l o n e n s e
colonense	k o l o n e ng s e
colonenses	k o l o n e n s e s
colonenses	k o l o n e ng s e s
colones	k o l o n e s
colonia	k o l o n j a
colonial	k o l o n j a l
colonialismo	k o l o n j a l i z m o
colonialista	k o l o n j a l i s t a
colonias	k o l o n j a s
colonización	k o l o n i T a T j o+ n
colonización	k o l o n i s a s j o+ ng
colonizando	k o l o n i T a n d o
colonizando	k o l o n i s a n d o
colonizar	k o l o n i T a rf
colonizar	k o l o n i s a rf
colonos	k o l o n o s
coloquial	k o l o k j a l
color	k o l o rf
colorado	k o l o rf a D o
colorado	k o l o rf a o
colores	k o l o rf e s
colorido	k o l o rf i D o
colosal	k o l o s a l
colosio	k o l o s j o
columbia	k o l u m b j a
columna	k o l u m n a
columnas	k o l u m n a s
columnistas	k o l u m n i s t a s
coló	k o l o+
colón	k o l o+ ng
coma	k o m a
comanda	k o m a n d a
comandaba	k o m a n d a b a
comandada	k o m a n d a D a
comandancia	k o m a n d a n T j a
comandancia	k o m a n d a ng s j a
comandante	k o m a n d a n t e
comandantes	k o m a n d a n t e s
comando	k o m a n d o
comandos	k o m a n d o s
comarca	k o m a rf k a
comayagua	k o m a L a G w a
comayagua	k o m aI a G w a
combata	k o m b a t a
combatan	k o m b a t a ng
combate	k o m b a t e
combates	k o m b a t e s
combatiendo	k o m b a t j e n d o
combatientes	k o m b a t j e n t e s
combatir	k o m b a t i rf
combatiremos	k o m b a t i rf e m o s
combatirla	k o m b a t i rf l a
combativo	k o m b a t i b o
combatió	k o m b a t j o+
combatía	k o m b a t i+ a
combina	k o m b i n a
combinación	k o m b i n a T j o+ n
combinación	k o m b i n a s j o+ ng
combinada	k o m b i n a D a
combinado	k o m b i n a D o
combinado	k o m b i n a o
combinados	k o m b i n a D o s
combinan	k o m b i n a ng
combinando	k o m b i n a n d o
combinen	k o m b i n e ng
combustible	k o m b u s t i b l e
combustibles	k o m b u s t i b l e s
comediantes	k o m e D j a n t e s
comedor	k o m e D o rf
comenta	k o m e n t a
comentada	k o m e n t a D a
comentado	k o m e n t a D o
comentado	k o m e n t a o
comentamos	k o m e n t a m o s
comentar	k o m e n t a rf
comentaremos	k o m e n t a rf e m o s
comentario	k o m e n t a rf j o
comentarios	k o m e n t a rf j o s
comentarista	k o m e n t a rf i s t a
comentaristas	k o m e n t a rf i s t a s
comentaron	k o m e n t a rf o ng
comenté	k o m e n t e+
comentó	k o m e n t o+
comenzaba	k o m e n T a b a
comenzaba	k o m e n s a b a
comenzado	k o m e n T a o
comenzado	k o m e n s a D o
comenzados	k o m e n T a D o s
comenzados	k o m e n s a D o s
comenzamos	k o m e n T a m o s
comenzamos	k o m e n s a m o s
comenzando	k o m e n T a n d o
comenzando	k o m e n s a n d o
comenzar	k o m e n T a rf
comenzar	k o m e n s a rf
comenzaremos	k o m e n T a rf e m o s
comenzaremos	k o m e n s a rf e m o s
comenzaron	k o m e n T a rf o n
comenzaron	k o m e n s a rf o ng
comenzarone	k o m e n T a rf o n e
comenzarone	k o m e n s a rf o n e
comenzará	k o m e n T a rf a+
comenzará	k o m e n s a rf a+
comenzarán	k o m e n T a rf a+ n
comenzarán	k o m e n s a rf a+ ng
comenzó	k o m e n T o+
comenzó	k o m e n s o+
comer	k o m e rf
comercial	k o m e rf T j a l
comercial	k o m e rf s j a l
comerciales	k o m e rf T j a l e s
comerciales	k o m e rf s j a l e s
comercialicen	k o m e rf T j a l i T e n
comercialicen	k o m e rf s j a l i s e ng
comercializa	k o m e rf T j a l i T a
comercializa	k o m e rf s j a l i s a
comercializaban	k o m e rf T j a l i T a b a n
comercializaban	k o m e rf s j a l i s a b a ng
comercialización	k o m e rf T j a l i T a T j o+ n
comercialización	k o m e rf s j a l i s a s j o+ ng
comercializada	k o m e rf T j a l i T a D a
comercializada	k o m e rf s j a l i s a D a
comercializado	k o m e rf T j a l i T a o
comercializado	k o m e rf s j a l i s a D o
comercializados	k o m e rf T j a l i T a D o s
comercializados	k o m e rf s j a l i s a D o s
comercializan	k o m e rf T j a l i T a n
comercializan	k o m e rf s j a l i s a ng
comercializando	k o m e rf T j a l i T a n d o
comercializando	k o m e rf s j a l i s a n d o
comercializar	k o m e rf T j a l i T a rf
comercializar	k o m e rf s j a l i s a rf
comercializarlo	k o m e rf T j a l i T a rf l o
comercializarlo	k o m e rf s j a l i s a rf l o
comercializaron	k o m e rf T j a l i T a rf o n
comercializaron	k o m e rf s j a l i s a rf o ng
comerciante	k o m e rf T j a n t e
comerciante	k o m e rf s j a n t e
comerciantes	k o m e rf T j a n t e s
comerciantes	k o m e rf s j a n t e s
comercio	k o m e rf T j o
comercio	k o m e rf s j o
comercios	k o m e rf T j o s
comercios	k o m e rf s j o s
comestibles	k o m e s t i b l e s
cometa	k o m e t a
cometan	k o m e t a ng
cometas	k o m e t a s
comete	k o m e t e
cometen	k o m e t e ng
cometer	k o m e t e rf
cometerlo	k o m e t e rf l o
cometida	k o m e t i D a
cometidas	k o m e t i D a s
cometido	k o m e t i D o
cometidos	k o m e t i D o s
cometiendo	k o m e t j e n d o
cometieron	k o m e t j e rf o ng
cometió	k o m e t j o+
cometí	k o m e t i+
comicios	k o m i T j o s
comicios	k o m i s j o s
comida	k o m i D a
comidas	k o m i D a s
comience	k o m j e n T e
comience	k o m j e ng s e
comiencen	k o m j e n T e n
comiencen	k o m j e ng s e ng
comiendo	k o m j e n d o
comienza	k o m j e n T a
comienza	k o m j e n s a
comienzan	k o m j e n T a n
comienzan	k o m j e n s a ng
comienzo	k o m j e n T o
comienzo	k o m j e n s o
comienzos	k o m j e n T o s
comienzos	k o m j e n s o s
comisariado	k o m i s a rf j a D o
comisariado	k o m i s a rf j a o
comisionado	k o m i s j o n a D o
comisionado	k o m i s j o n a o
comisionados	k o m i s j o n a D o s
comisiones	k o m i s j o n e s
comisionistas	k o m i s j o n i s t a s
comisión	k o m i s j o+ ng
comiso	k o m i s o
comisón	k o m i s o+ ng
comitiva	k o m i t i b a
comité	k o m i t e+
comités	k o m i t e+ s
commerce	k o m m e rf T e
commerce	k o m m e rf s e
committee	k o m m i t t e e
communications	k o m m u n i k a t j o n s
communications	k o m m u n i k a t j o ng s
communión	k o m m u n j o+ ng
como	k o m o
comodín	k o m o D i+ ng
compacto	k o m p a k t o
compactos	k o m p a k t o s
compadrazgos	k o m p a D rf a T G o s
compadrazgos	k o m p a D rf a s G o s
compaginación	k o m p a x i n a T j o+ n
compaginación	k o m p a x i n a s j o+ ng
companeros	k o m p a n e rf o s
company	k o m p a n j
compara	k o m p a rf a
comparable	k o m p a rf a b l e
comparación	k o m p a rf a T j o+ n
comparación	k o m p a rf a s j o+ ng
comparado	k o m p a rf a D o
comparado	k o m p a rf a o
comparamos	k o m p a rf a m o s
comparando	k o m p a rf a n d o
comparar	k o m p a rf a rf
