!SIL	sil
<unk>	spn
bourgeoises	b u R Z uu a z z
bourgeoisie	b u R Z uu a z i
bourgeonne	b u R Z oc5 n
bourgeonne	b u R Z oc5 n oE
bourgogne	b u R g oc5 n~
bourgogne	b u R g oc5 n~ oE
bourgs	b u R
bourgs	b u R z
bourlingué	b u R l eo5~ g e
bourrage	b u R a Z
bourrage	b u R a Z oE
bourreaux	b u R o
bourreaux	b u R o z
bourse	b u R s
bourse	b u R s oE
bourses	b u R s
bourses	b u R s z
boursier	b u R s j e
boursier	b u R s j e R
boursiers	b u R s j e
boursiers	b u R s j e z
boursières	b u R s j eo5 R
boursières	b u R s j eo5 R z
bouscule	b u s k ue l
bouscule	b u s k ue l oE
bouseux	b u z o2
bouseux	b u z o2 z
boussole	b u s oc5 l
boussole	b u s oc5 l oE
bout	b u
bouteille	b u t eo5 j
bouteille	b u t eo5 j oE
bouteilles	b u t eo5 j
bouteilles	b u t eo5 j z
boutique	b u t i k
boutique	b u t i k oE
boutiques	b u t i k
boutiques	b u t i k z
bouton	b u t o~
boutons	b u t o~
boutons	b u t o~ z
bouts	b u
bouts	b u z
bouture	b u t ue R
bouture	b u t ue R oE
bovine	b oc5 v i n
bovine	b oc5 v i n oE
boîte	b uu a t
boîte	b uu a t oE
boîtes	b uu a t
boîtes	b uu a t oE
brac	b R a k
bracelet	b R a s oE l eo5
bradée	b R a d e
braisez	b R eo5 z e
braisez	b R eo5 z e z
branche	b R a~ S
branche	b R a~ S oE
branchement	b R a~ S oE M a~
brancher	b R a~ S e
brancher	b R a~ S e R
branches	b R a~ S
branches	b R a~ S oE
branchée	b R a~ S e
branchées	b R a~ S e
branchées	b R a~ S e z
branchés	b R a~ S e
branchés	b R a~ S e z
brandissaient	b R a~ d i s eo5
brandissaient	b R a~ d i s eo5 t
brandons	b R a~ d o~
brandons	b R a~ d o~ z
bras	b R a
bras	b R a z
brasseries	b R a s oE R i
brasseries	b R a s oE R i z
brassés	b R a s e
brassés	b R a s e z
brave	b R a v
brave	b R a v oE
braves	b R a v
braves	b R a v oE
brebis	b R etu b i
brebis	b R etu b i z
bref	b R eo5 f
brefs	b R eo5 f
brefs	b R eo5 f z
bretelles	b R etu t eo5 l
bretelles	b R etu t eo5 l z
breton	b R etu t o~
bretonne	b R etu t oc5 n
bretonne	b R etu t oc5 n oE
bretonnes	b R etu t oc5 n
bretonnes	b R etu t oc5 n z
bretons	b R etu t o~
bretons	b R etu t o~ z
brevet	b R etu v eo5
brevetables	b R etu v oE t a b l
brevetables	b R etu v oE t a b l z
brevets	b R etu v eo5
brevets	b R etu v eo5 z
bric	b R i k
bricolage	b R i k oc5 l a Z
bricolage	b R i k oc5 l a Z oE
bricole	b R i k oc5 l
bricole	b R i k oc5 l oE
brigade	b R i g a d
brigade	b R i g a d oE
brigades	b R i g a d
brigades	b R i g a d z
brigands	b R i g a~
brigands	b R i g a~ z
briguer	b R i g e
briguer	b R i g e R
brillance	b R i j a~ s
brillance	b R i j a~ s oE
brillant	b R i j a~
brillant	b R i j a~ t
brillante	b R i j a~ t
brillante	b R i j a~ t oE
brillantes	b R i j a~ t
brillantes	b R i j a~ t oE
brillants	b R i j a~
brillants	b R i j a~ z
briller	b R i j e
briller	b R i j e R
brillèrent	b R i j eo5 R
brillèrent	b R i j eo5 R oE t
brin	b R eo5~
brins	b R eo5~
brins	b R eo5~ z
brique	b R i k
brique	b R i k oE
briques	b R i k
briques	b R i k oE
briquette	b R i k eo5 t
briquette	b R i k eo5 t oE
bris	b R i
bris	b R i z
brise	b R i z
brise	b R i z oE
brisent	b R i z
brisent	b R i z oE t
briser	b R i z e
briser	b R i z e R
brisures	b R i z ue R
brisures	b R i z ue R z
brisé	b R i z e
brisée	b R i z e
brisées	b R i z e
brisées	b R i z e z
britannique	b R i t a n i k
britannique	b R i t a n i k oE
britanniques	b R i t a n i k
britanniques	b R i t a n i k z
brièvement	b R i eo5 v oE M a~
brièvement	b R i eo5 v oE M a~ t
brièvement	b R i j eo5 v oE M a~
brièvement	b R i j eo5 v oE M a~ t
brocantes	b R oc5 k a~ t
brocantes	b R oc5 k a~ t oE
brochure	b R oc5 S ue R
brochure	b R oc5 S ue R oE
broderie	b R oc5 d oE R i
broderies	b R oc5 d oE R i
broderies	b R oc5 d oE R i z
brodés	b R oc5 d e
brodés	b R oc5 d e z
broie	b R uu a
bronches	b R o~ S
bronches	b R o~ S oE
bronchites	b R o~ S i t
bronchites	b R o~ S i t z
bronzage	b R o~ z a Z
bronzage	b R o~ z a Z oE
bronze	b R o~ z
bronze	b R o~ z oE
bronzée	b R o~ z e
brosse	b R oc5 s
brosse	b R oc5 s oE
brouette	b R u eo5 t
brouette	b R u eo5 t oE
brouhaha	b R u a a
brouillage	b R u j a Z
brouillage	b R u j a Z oE
brouillage	b R u i j a Z
brouillage	b R u i j a Z oE
brouillard	b R u j a R
broyage	b R uu a j a Z
broyage	b R uu a j a Z oE
broyer	b R uu a j e
broyer	b R uu a j e R
broyée	b R uu a j e
broyés	b R uu a j e
broyés	b R uu a j e z
brucellose	b R ue s eo5 l o z
brucellose	b R ue s eo5 l o z oE
bruit	b R H i
bruitages	b R H i t a Z
bruitages	b R H i t a Z z
bruits	b R H i
bruits	b R H i z
brun	b R oe~
brune	b R ue n
brune	b R ue n oE
brunes	b R ue n
brunes	b R ue n z
bruns	b R oe~
bruns	b R oe~ z
brushing	b R etu S i ng
brut	b R ue t
brutal	b R ue t a l
brutale	b R ue t a l
brutale	b R ue t a l oE
brutalement	b R ue t a l oE M a~
brutalement	b R ue t a l oE M a~ t
brutalité	b R ue t a l i t e
brutaux	b R ue t o
brutaux	b R ue t o z
brutes	b R ue t
brutes	b R ue t z
bruts	b R ue t
bruts	b R ue t z
bruyant	b R H i j a~
bruyant	b R H i j a~ t
brèche	b R eo5 S
brèche	b R eo5 S oE
brève	b R eo5 v
brève	b R eo5 v oE
brèves	b R eo5 v
brèves	b R eo5 v z
brésil	b R eo5 z i l
brésilien	b R eo5 z i l j eo5~
brésiliens	b R eo5 z i l j eo5~
brésiliens	b R eo5 z i l j eo5~ z
brûlaient	b R ue l eo5
brûlaient	b R ue l eo5 t
brûle	b R ue l
brûle	b R ue l oE
brûleur	b R ue l oe R
brûlures	b R ue l ue R
brûlures	b R ue l ue R z
brûlé	b R ue l e
brûlées	b R ue l e
brûlées	b R ue l e z
bu	b ue
buccale	b ue k a l
buccale	b ue k a l oE
budget	b ue d Z eo5
budgets	b ue d Z eo5
budgets	b ue d Z eo5 z
budgétaire	b ue d Z eo5 t eo5 R
budgétaire	b ue d Z eo5 t eo5 R oE
budgétaires	b ue d Z eo5 t eo5 R
budgétaires	b ue d Z eo5 t eo5 R z
buildings	b i l d i ng
buildings	b i l d i ng z
bulbe	b ue l b
bulbe	b ue l b oE
bulbes	b ue l b
bulbes	b ue l b z
bulle	b ue l
bulle	b ue l oE
bulles	b ue l
bulles	b ue l z
bulletin	b ue l oE t eo5~
bulletins	b ue l oE t eo5~
bulletins	b ue l oE t eo5~ z
bureau	b ue R o
bureaucratie	b ue R oc5 k R a s i
bureaucratique	b ue R oc5 k R a t i k
bureaucratique	b ue R oc5 k R a t i k oE
bureautique	b ue R oc5 t i k
bureautique	b ue R oc5 t i k oE
bureautiques	b ue R oc5 t i k
bureautiques	b ue R oc5 t i k z
bureaux	b ue R o
bureaux	b ue R o z
burlesque	b ue R l eo5 s k
burlesque	b ue R l eo5 s k oE
bus	b ue s
busc	b ue s k
business	b i z n eo5 s
buste	b ue s t
buste	b ue s t oE
but	b ue
butiner	b ue t i n e
butiner	b ue t i n e R
butoir	b ue t uu a R
buts	b ue
buts	b ue t
buts	b ue t z
buts	b ue z
buttes	b ue t
buttes	b ue t oE
buveurs	b ue v oe R
buveurs	b ue v oe R z
bâti	b a t i
bâtie	b a t i
bâtiment	b a t i M a~
bâtiments	b a t i M a~
bâtiments	b a t i M a~ z
bâtir	b a t i R
bâtis	b a t i
bâtis	b a t i z
bâtissent	b a t i s
bâtissent	b a t i s oE t
bâtit	b a t i
bâtit	b a t i t
bâton	b a t o~
bâtonnier	b a t oc5 n j e
béat	b eo5 a
béat	b eo5 a t
béates	b eo5 a t
béates	b eo5 a t z
bébé	b eo5 b e
bébés	b eo5 b e
bébés	b eo5 b e z
bénigne	b eo5 n i n~
bénigne	b eo5 n i n~ oE
bénin	b eo5 n eo5~
bénis	b eo5 n i
bénis	b eo5 n i z
bénitier	b eo5 n i t j e
bénits	b eo5 n i
bénits	b eo5 n i z
bénédiction	b eo5 n eo5 d i k s j o~
bénéfice	b eo5 n eo5 f i s
bénéfice	b eo5 n eo5 f i s oE
bénéfices	b eo5 n eo5 f i s
bénéfices	b eo5 n eo5 f i s z
bénéficiaire	b eo5 n eo5 f i s j eo5 R
bénéficiaire	b eo5 n eo5 f i s j eo5 R oE
bénéficiaires	b eo5 n eo5 f i s j eo5 R
bénéficiaires	b eo5 n eo5 f i s j eo5 R z
bénéficiant	b eo5 n eo5 f i s j a~
bénéficiant	b eo5 n eo5 f i s j a~ t
bénéficie	b eo5 n eo5 f i s i
bénéficient	b eo5 n eo5 f i s i
bénéficient	b eo5 n eo5 f i s i t
bénéficier	b eo5 n eo5 f i s j e
bénéficier	b eo5 n eo5 f i s j e R
bénéficiera	b eo5 n eo5 f i s i R a
bénéficieraient	b eo5 n eo5 f i s i R eo5
bénéficieraient	b eo5 n eo5 f i s i R eo5 t
bénéficieront	b eo5 n eo5 f i s i R o~
bénéficieront	b eo5 n eo5 f i s i R o~ t
bénéficiez	b eo5 n eo5 f i s j e
bénéficiez	b eo5 n eo5 f i s j e z
bénéficié	b eo5 n eo5 f i s j e
bénéfique	b eo5 n eo5 f i k
bénéfique	b eo5 n eo5 f i k oE
bénéfiques	b eo5 n eo5 f i k
bénéfiques	b eo5 n eo5 f i k z
bénévole	b eo5 n eo5 v oc5 l
bénévole	b eo5 n eo5 v oc5 l oE
bénévoles	b eo5 n eo5 v oc5 l
bénévoles	b eo5 n eo5 v oc5 l z
béton	b eo5 t o~
bévue	b eo5 v ue
bêche	b eo5 S
bêche	b eo5 S oE
bête	b eo5 t
bête	b eo5 t oE
bêtes	b eo5 t
bêtes	b eo5 t z
bûcher	b ue S e
bûcher	b ue S e R
c	s eo5
cabanes	k a b a n
cabanes	k a b a n oE
cabaret	k a b a R eo5
cabines	k a b i n
cabines	k a b i n z
cabinet	k a b i n eo5
cabinets	k a b i n eo5
cabinets	k a b i n eo5 z
cabotage	k a b oc5 t a Z
cabotage	k a b oc5 t a Z oE
cacao	k a k a o
cachait	k a S eo5
cachait	k a S eo5 t
cache	k a S
cache	k a S oE
cachent	k a S
cachent	k a S oE t
cacher	k a S e
cacher	k a S e R
caches	k a S
caches	k a S oE
cachet	k a S eo5
caché	k a S e
cachée	k a S e
cachées	k a S e
cachées	k a S e z
cachés	k a S e
cachés	k a S e z
cadavres	k a d a v R
cadavres	k a d a v R z
cadeau	k a d o
cadeaux	k a d o
cadeaux	k a d o z
cadet	k a d eo5
cadet	k a d eo5 t
cadrage	k a d R a Z
cadrage	k a d R a Z oE
cadran	k a d R a~
cadre	k a d R
cadre	k a d R oE
cadrer	k a d R e
cadrer	k a d R e R
cadres	k a d R
cadres	k a d R oE
cadré	k a d R e
caduque	k a d ue k
caduque	k a d ue k oE
caecal	s eo5 k a l
caetera	k a t e R a
caetera	k a e t e R a
caetera	s e t e R a
café	k a f e
caféier	k a f eo5 j e
cafés	k a f e
cafés	k a f e z
cage	k a Z
cage	k a Z oE
cagibi	k a Z i b i
cahier	k a j e
cahiers	k a j e
cahiers	k a j e z
caillasse	k a j a s
caillasse	k a j a s oE
cailles	k a j
cailles	k a j oE
caillou	k a j u
caisse	k eo5 s
caisse	k eo5 s oE
caisses	k eo5 s
caisses	k eo5 s z
caisson	k eo5 s o~
calamités	k a l a M i t e
calamités	k a l a M i t e z
calant	k a l a~
calant	k a l a~ t
calcaire	k a l k eo5 R
calcaire	k a l k eo5 R oE
calcaires	k a l k eo5 R
calcaires	k a l k eo5 R z
calcifiée	k a l s i f j e
calcium	k a l s j oc5 M
calcul	k a l k ue l
calculable	k a l k ue l a b l
calculable	k a l k ue l a b l oE
calculant	k a l k ue l a~
calculant	k a l k ue l a~ t
calculateur	k a l k ue l a t oe R
calculateurs	k a l k ue l a t oe R
calculateurs	k a l k ue l a t oe R z
calculatrice	k a l k ue l a t R i s
calculatrice	k a l k ue l a t R i s oE
calculatrices	k a l k ue l a t R i s
calculatrices	k a l k ue l a t R i s z
calcule	k a l k ue l
calcule	k a l k ue l oE
calculer	k a l k ue l e
calculer	k a l k ue l e R
calculettes	k a l k ue l eo5 t
calculettes	k a l k ue l eo5 t z
calculons	k a l k ue l o~
calculons	k a l k ue l o~ z
calculs	k a l k ue l
calculs	k a l k ue l z
calculé	k a l k ue l e
calculée	k a l k ue l e
calculées	k a l k ue l e
calculées	k a l k ue l e z
calculés	k a l k ue l e
calculés	k a l k ue l e z
calcémie	k a l s eo5 M i
calendrier	k a l a~ d R i j e
calendrier	k a l a~ d R i e
calendriers	k a l a~ d R i j e
calendriers	k a l a~ d R i j e z
calendriers	k a l a~ d R i e
calendriers	k a l a~ d R i e z
calibre	k a l i b R
calibre	k a l i b R oE
calibrées	k a l i b R e
calibrées	k a l i b R e z
calligraphie	k a l i g R a f i
calme	k a l M
calme	k a l M oE
calmement	k a l M etu M a~
calmement	k a l M etu M a~ t
calmer	k a l M e
calmer	k a l M e R
calmes	k a l M
calmes	k a l M oE
calomnie	k a l oc5 M n i
calomnies	k a l oc5 M n i
caloporteur	k a l oc5 p oc5 R t oe R
calorimètres	k a l oc5 R i M eo5 t R
calorimètres	k a l oc5 R i M eo5 t R z
calorimètres	k a l o R i M eo5 t R
calorimètres	k a l o R i M eo5 t R z
calotin	k a l oc5 t eo5~
calottes	k a l oc5 t
calottes	k a l oc5 t oE
calque	k a l k
calque	k a l k oE
calques	k a l k
calques	k a l k oE
calquées	k a l k e
calquées	k a l k e z
cals	k a l
cals	k a l z
calvados	k a l v a d o s
calvaire	k a l v eo5 R
calvaire	k a l v eo5 R oE
calédoniens	k a l eo5 d oc5 n j eo5~
calédoniens	k a l eo5 d oc5 n j eo5~ z
camarades	k a M a R a d
camarades	k a M a R a d z
camionnage	k a M j oc5 n a Z
camionnage	k a M j oc5 n a Z oE
camions	k a M j o~
camions	k a M j o~ z
camouflées	k a M u f l e
camouflées	k a M u f l e z
camp	k a~
campagne	k a~ p a n~
campagne	k a~ p a n~ oE
campagnes	k a~ p a n~
campagnes	k a~ p a n~ z
campement	k a~ p oE M a~
camping	k a~ p i ng
campings	k a~ p i ng
campings	k a~ p i ng z
camps	k a~
camps	k a~ z
campus	k a~ p ue s
caméléon	k a M eo5 l eo5 o~
caméra	k a M eo5 R a
caméras	k a M eo5 R a
caméras	k a M eo5 R a z
canada	k a n a d a
canadienne	k a n a d j eo5 n
canadienne	k a n a d j eo5 n oE
canal	k a n a l
canalisations	k a n a l i z a s j o~
canalisations	k a n a l i z a s j o~ z
canaliser	k a n a l i z e
canaliser	k a n a l i z e R
canard	k a n a R
canards	k a n a R
canards	k a n a R z
canaux	k a n o
canaux	k a n o z
cancer	k a~ s eo5 R
cancers	k a~ s eo5 R
cancers	k a~ s eo5 R z
cancéreuses	k a~ s eo5 R o2 z
cancéreuses	k a~ s eo5 R o2 z z
cancéreux	k a~ s eo5 R o2
cancéreux	k a~ s eo5 R o2 z
cancérogène	k a~ s eo5 R oc5 Z eo5 n
cancérogène	k a~ s eo5 R oc5 Z eo5 n oE
cancérogènes	k a~ s eo5 R oc5 Z eo5 n
cancérogènes	k a~ s eo5 R oc5 Z eo5 n z
cancérologie	k a~ s e R oc5 l oc5 Z i
cancérologie	k a~ s e R o l o Z i
cancérologique	k a~ s eo5 R oc5 l oc5 Z i k
cancérologique	k a~ s eo5 R oc5 l oc5 Z i k oE
cancérologue	k a~ s eo5 R oc5 l oc5 g
cancérologue	k a~ s eo5 R oc5 l oc5 g oE
cancérologues	k a~ s eo5 R oc5 l oc5 g
cancérologues	k a~ s eo5 R oc5 l oc5 g z
candeur	k a~ d oe R
candidat	k a~ d i d a
candidate	k a~ d i d a t
candidate	k a~ d i d a t oE
candidats	k a~ d i d a
candidats	k a~ d i d a z
candidature	k a~ d i d a t ue R
candidature	k a~ d i d a t ue R oE
candidatures	k a~ d i d a t ue R
candidatures	k a~ d i d a t ue R z
caniches	k a n i S
caniches	k a n i S z
canicule	k a n i k ue l
canicule	k a n i k ue l oE
canine	k a n i n
canine	k a n i n oE
cannabis	k a n a b i s
canne	k a n
canne	k a n oE
cannelle	k a n eo5 l
cannelle	k a n eo5 l oE
cannes	k a n
cannes	k a n oE
cannibales	k a n i b a l
cannibales	k a n i b a l z
canon	k a n o~
canoniques	k a n oc5 n i k
canoniques	k a n oc5 n i k z
canonisation	k a n oc5 n i z a s j o~
canons	k a n o~
canons	k a n o~ z
canoë	k a n oc5 eo5
cantonal	k a~ t oc5 n a l
cantonnant	k a~ t oc5 n a~
cantonnant	k a~ t oc5 n a~ t
cantons	k a~ t o~
cantons	k a~ t o~ z
caoutchouc	k a u t S u
cap	k a p
capable	k a p a b l
capable	k a p a b l oE
capables	k a p a b l
capables	k a p a b l z
capacité	k a p a s i t e
capacités	k a p a s i t e
capacités	k a p a s i t e z
capes	k a p
capes	k a p z
capillaire	k a p i l eo5 R
capillaire	k a p i l eo5 R oE
capillarité	k a p i l a R i t e
capitaine	k a p i t eo5 n
capitaine	k a p i t eo5 n oE
capitaines	k a p i t eo5 n
capitaines	k a p i t eo5 n z
capital	k a p i t a l
capitale	k a p i t a l
capitale	k a p i t a l oE
capitales	k a p i t a l
capitales	k a p i t a l z
capitalisation	k a p i t a l i z a s j o~
capitaliser	k a p i t a l i z e
capitaliser	k a p i t a l i z e R
capitalisme	k a p i t a l i s M
capitalisme	k a p i t a l i s M oE
capitaliste	k a p i t a l i s t
capitaliste	k a p i t a l i s t oE
capitalisés	k a p i t a l i z e
capitalisés	k a p i t a l i z e z
capitaux	k a p i t o
capitaux	k a p i t o z
capitole	k a p i t oc5 l
capitole	k a p i t oc5 l oE
capitulaire	k a p i t ue l eo5 R
capitulaire	k a p i t ue l eo5 R oE
caprice	k a p R i s
caprice	k a p R i s oE
caprices	k a p R i s
caprices	k a p R i s z
caprins	k a p R eo5~
caprins	k a p R eo5~ z
capside	k a p s i d
capside	k a p s i d oE
capsule	k a p s ue l
capsule	k a p s ue l oE
captage	k a p t a Z
captage	k a p t a Z oE
captant	k a p t a~
captant	k a p t a~ t
capte	k a p t
capte	k a p t oE
captent	k a p t
captent	k a p t oE t
capter	k a p t e
capter	k a p t e R
capteur	k a p t oe R
capteurs	k a p t oe R
capteurs	k a p t oe R z
captivée	k a p t i v e
capture	k a p t ue R
capture	k a p t ue R oE
capturer	k a p t ue R e
capturer	k a p t ue R e R
captures	k a p t ue R
captures	k a p t ue R oE
capturé	k a p t ue R e
capturés	k a p t ue R e
capturés	k a p t ue R e z
captés	k a p t e
captés	k a p t e z
capucin	k a p ue s eo5~
capétiens	k a p eo5 s j eo5~
capétiens	k a p eo5 s j eo5~ z
car	k a R
caractère	k a R a k t eo5 R
caractère	k a R a k t eo5 R oE
caractères	k a R a k t eo5 R
caractères	k a R a k t eo5 R z
caractérisation	k a R a k t eo5 R i z a s j o~
caractérisation	k a R a k t eo5 R i z a s i o~
caractérisation	k a R a k t e R i z a s j o~
caractérisation	k a R a k t e R i z a s i o~
caractérise	k a R a k t eo5 R i z
caractérise	k a R a k t eo5 R i z oE
caractérisent	k a R a k t eo5 R i z
caractérisent	k a R a k t eo5 R i z oE t
caractériser	k a R a k t eo5 R i z e
caractériser	k a R a k t eo5 R i z e R
caractérisera	k a R a k t eo5 R i z oE R a
caractériserait	k a R a k t eo5 R i z oE R eo5
caractériserait	k a R a k t eo5 R i z oE R eo5 t
caractérisons	k a R a k t eo5 R i z o~
caractérisons	k a R a k t eo5 R i z o~ z
caractéristique	k a R a k t eo5 R i s t i k
caractéristique	k a R a k t eo5 R i s t i k oE
caractéristiques	k a R a k t eo5 R i s t i k
caractéristiques	k a R a k t eo5 R i s t i k z
caractérisé	k a R a k t eo5 R i z e
caractérisée	k a R a k t eo5 R i z e
caractérisés	k a R a k t eo5 R i z e
caractérisés	k a R a k t eo5 R i z e z
caramel	k a R a M eo5 l
carapace	k a R a p a s
carapace	k a R a p a s oE
caravane	k a R a v a n
caravane	k a R a v a n oE
carbone	k a R b oc5 n
carbone	k a R b oc5 n oE
carbonique	k a R b oc5 n i k
carbonique	k a R b oc5 n i k oE
carbonée	k a R b oc5 n e
carburant	k a R b ue R a~
carburant	k a R b ue R a~ t
carburants	k a R b ue R a~
carburants	k a R b ue R a~ z
carcan	k a R k a~
carcinomes	k a R s i n oc5 M
carcinomes	k a R s i n oc5 M z
carcéral	k a R s eo5 R a l
carcérale	k a R s eo5 R a l
carcérale	k a R s eo5 R a l oE
cardiaque	k a R d j a k
cardiaque	k a R d j a k oE
cardinal	k a R d i n a l
cardio	k a R d j o
cardio	k a R d i o
carence	k a R a~ s
carence	k a R a~ s oE
carences	k a R a~ s
carences	k a R a~ s oE
caresser	k a R eo5 s e
caresser	k a R eo5 s e R
caricature	k a R i k a t ue R
caricature	k a R i k a t ue R oE
caries	k a R i
caries	k a R i z
carillon	k a R i j o~
carmin	k a R M eo5~
carnet	k a R n eo5
carnets	k a R n eo5
carnets	k a R n eo5 z
carnés	k a R n e
carnés	k a R n e z
carottages	k a R oc5 t a Z
carottages	k a R oc5 t a Z z
carotte	k a R oc5 t
carotte	k a R oc5 t oE
carquois	k a R k uu a
carquois	k a R k uu a z
carreaux	k a R o
carreaux	k a R o z
carrefour	k a R oE f u R
carrefours	k a R oE f u R
carrefours	k a R oE f u R z
carrière	k a R j eo5 R
carrière	k a R j eo5 R oE
carrières	k a R j eo5 R
carrières	k a R j eo5 R z
carrosserie	k a R oc5 s oE R i
carrossier	k a R oc5 s j e
carrossiers	k a R oc5 s j e
carrossiers	k a R oc5 s j e z
carrousel	k a R u z eo5 l
carroyage	k a R uu a j a Z
carroyage	k a R uu a j a Z oE
carré	k a R e
carrée	k a R e
carrément	k a R eo5 M a~
carrément	k a R eo5 M a~ t
carrés	k a R e
carrés	k a R e z
cars	k a R
cars	k a R z
carte	k a R t
carte	k a R t oE
cartes	k a R t
cartes	k a R t z
cartilages	k a R t i l a Z
cartilages	k a R t i l a Z z
cartographes	k a R t oc5 g R a f
cartographes	k a R t oc5 g R a f z
cartographie	k a R t oc5 g R a f i
cartographies	k a R t oc5 g R a f i
cartographies	k a R t oc5 g R a f i z
cartographique	k a R t oc5 g R a f i k
cartographique	k a R t oc5 g R a f i k oE
cartographiques	k a R t oc5 g R a f i k
cartographiques	k a R t oc5 g R a f i k z
carton	k a R t o~
cartons	k a R t o~
cartons	k a R t o~ z
cartouche	k a R t u S
cartouche	k a R t u S oE
caryotype	k a R j oc5 t i p
caryotype	k a R j oc5 t i p oE
carême	k a R eo5 M
carême	k a R eo5 M oE
cas	k a
cas	k a z
casablancaise	k a z a b l a~ k eo5 z
casablancaise	k a z a b l a~ k eo5 z oE
casaque	k a z a k
casaque	k a z a k oE
cascade	k a s k a d
cascade	k a s k a d oE
case	k a z
case	k a z oE
cases	k a z
cases	k a z oE
cash	k a S
casier	k a z j e
casino	k a z i n o
casques	k a s k
casques	k a s k oE
casquette	k a s k eo5 t
casquette	k a s k eo5 t oE
cassa	k a s a
cassait	k a s eo5
cassait	k a s eo5 t
cassante	k a s a~ t
cassante	k a s a~ t oE
cassants	k a s a~
cassants	k a s a~ z
cassation	k a s a s j o~
cassent	k a s
cassent	k a s oE t
casser	k a s e
casser	k a s e R
casseroles	k a s oE R oc5 l
casseroles	k a s oE R oc5 l z
cassettes	k a s eo5 t
cassettes	k a s eo5 t z
cassure	k a s ue R
cassure	k a s ue R oE
castes	k a s t
castes	k a s t z
castors	k a s t oc5 R
castors	k a s t oc5 R z
catabolisme	k a t a b oc5 l i s M
catabolisme	k a t a b oc5 l i s M oE
catabolisme	k a t a b o l i s M
catabolisme	k a t a b o l i s M oE
catalogne	k a t a l oc5 n~
catalogne	k a t a l oc5 n~ oE
catalogue	k a t a l oc5 g
catalogue	k a t a l oc5 g oE
catalogues	k a t a l oc5 g
catalogues	k a t a l oc5 g oE
catalyse	k a t a l i z
catalyse	k a t a l i z oE
catalyser	k a t a l i z e
catalyser	k a t a l i z e R
catalyseur	k a t a l i z oe R
catalysée	k a t a l i z e
cataplexie	k a t a p l eo5 k s i
catarrhes	k a t a R
catarrhes	k a t a R z
catastrophe	k a t a s t R oc5 f
catastrophe	k a t a s t R oc5 f oE
catastrophes	k a t a s t R oc5 f
catastrophes	k a t a s t R oc5 f oE
catastrophique	k a t a s t R oc5 f i k
catastrophique	k a t a s t R oc5 f i k oE
cathodique	k a t oc5 d i k
cathodique	k a t oc5 d i k oE
catholicisme	k a t oc5 l i s i s M
catholicisme	k a t oc5 l i s i s M oE
catholique	k a t oc5 l i k
catholique	k a t oc5 l i k oE
catholiques	k a t oc5 l i k
catholiques	k a t oc5 l i k z
cathédrales	k a t eo5 d R a l
cathédrales	k a t eo5 d R a l z
catogan	k a t oc5 g a~
catégorie	k a t eo5 g oc5 R i
catégoriel	k a t eo5 g oc5 R j eo5 l
catégorielle	k a t eo5 g oc5 R j eo5 l
catégorielle	k a t eo5 g oc5 R j eo5 l oE
catégoriels	k a t eo5 g oc5 R j eo5 l
catégoriels	k a t eo5 g oc5 R j eo5 l z
catégories	k a t eo5 g oc5 R i
catégories	k a t eo5 g oc5 R i z
catégorisation	k a t eo5 g oc5 R i z a s j o~
cauchemar	k oc5 S oE M a R
causais	k oc5 z eo5
causais	k oc5 z eo5 z
causal	k oc5 z a l
causales	k oc5 z a l
causales	k oc5 z a l z
causalité	k oc5 s a l i t e
cause	k o z
cause	k o z oE
causent	k o z
causent	k o z oE t
causer	k oc5 z e
causer	k oc5 z e R
causes	k o z
causes	k o z oE
causses	k o s
causses	k o s z
causé	k oc5 z e
causée	k oc5 z e
causées	k oc5 z e
causées	k oc5 z e z
causés	k oc5 z e
causés	k oc5 z e z
caution	k oc5 s j o~
cautionnement	k oc5 s j oc5 n oE M a~
cautionner	k oc5 s j oc5 n e
cautionner	k oc5 s j oc5 n e R
cavalier	k a v a l j e
cavalier	k a v a l j e R
cave	k a v
cave	k a v oE
caveau	k a v o
caverne	k a v eo5 R n
caverne	k a v eo5 R n oE
caverneuse	k a v eo5 R n o2 z
caverneuse	k a v eo5 R n o2 z oE
caverneuse	k a v eo5 R n oe z
caverneuse	k a v eo5 R n oe z oE
cavitation	k a v i t a s j o~
cavité	k a v i t e
cavités	k a v i t e
cavités	k a v i t e z
ce	s
ce	s oE
ceci	s etu s i
ceinture	s eo5~ t ue R
ceinture	s eo5~ t ue R oE
cela	s etu l a
celle	s eo5 l
celle	s eo5 l oE
celles	s eo5 l
celles	s eo5 l z
cellulaire	s eo5 l ue l eo5 R
cellulaire	s eo5 l ue l eo5 R oE
cellulaires	s eo5 l ue l eo5 R
cellulaires	s eo5 l ue l eo5 R z
cellule	s eo5 l ue l
cellule	s eo5 l ue l oE
cellules	s eo5 l ue l
cellules	s eo5 l ue l z
cellulose	s eo5 l ue l o z
cellulose	s eo5 l ue l o z oE
celluloïd	s eo5 l ue l oc5 i d
celtes	s eo5 l t
celtes	s eo5 l t z
celui	s etu l H i
cendres	s a~ d R
cendres	s a~ d R oE
cendré	s a~ d R e
cens	s a~ s
censitaire	s a~ s i t eo5 R
censitaire	s a~ s i t eo5 R oE
censure	s a~ s ue R
censure	s a~ s ue R oE
censurer	s a~ s ue R e
censurer	s a~ s ue R e R
censurés	s a~ s ue R e
